product_id;category;sub_category;product_name;price
FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;130.98
FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;170.79
OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;7.31
FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;191.52
OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;13.98
FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;20.94
OFF-AR-10002833;Office Supplies;Art;Newell 322;3.64
TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;302.38
OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;2.31
OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;22.98
FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;142.18
TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;284.82
OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;12.96
OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;51
OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;13.76
OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;1.7
OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";221.96
OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5
OFF-AR-10003056;Office Supplies;Art;Newell 341;6.85
TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213.48
OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";14.2
OFF-AR-10000246;Office Supplies;Art;Newell 318;5.56
OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;8.62
FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;40.78
OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;4.37
TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57
FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;1497.67
OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.62
FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";19.54
OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;1.63
OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;35.96
OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";1.52
OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;7.88
OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;19.65
TEC-PH-10004977;Technology;Phones;GE 30524EE4;235.19
FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190.92
OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";62.96
FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;521.96
FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;90.88
TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371.17
TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;45.99
OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77.88
OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;59.76
TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;18.39
OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;5.24
OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;84.78
TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;120
TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;10.9
OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;7.64
OFF-LA-10002762;Office Supplies;Labels;Avery 485;25.06
FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;4.93
FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;71.99
OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;4.36
TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;164.79
OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;69.52
OFF-PA-10001569;Office Supplies;Paper;Xerox 232;6.48
FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;127.76
OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;11.65
OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;18.18
OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1.34
TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13.98
OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";4.3
OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;97.82
FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;39.88
FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;60.89
OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113.02
TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;83.98
OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75.88
OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;2.31
OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";5.08
FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;181.99
FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";72.78
OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72.78
OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1.25
FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9.71
OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;18.16
FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19.3
OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208.16
OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;8.93
OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;4.77
OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21.39
OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;35.89
OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;76.79
FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;105.69
TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19.99
OFF-LA-10000134;Office Supplies;Labels;Avery 511;3.08
OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;45.25
OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;6.7
OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6.48
OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12.96
FUR-FU-10003799;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";14.22
OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;9.89
OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5.68
FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;11.03
OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;8.55
OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;12.98
OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;11.54
TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95.98
OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1.19
OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);14.35
TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;99.54
FUR-FU-10004006;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;85.3
OFF-BI-10002794;Office Supplies;Binders;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";12.29
TEC-AC-10003499;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;18.53
TEC-PH-10002844;Technology;Phones;Speck Products Candyshell Flip Case;27.99
OFF-AR-10000390;Office Supplies;Art;Newell Chalk Holder;3.3
TEC-AC-10000844;Technology;Accessories;Logitech Gaming G510s - Keyboard;84.99
